obsname,well_id,layer,row,col,land_elev_m,SWL_m,obs_head_m
obs_000000,4111426,0,954,951,269.59460449,2.9999927558898927,266.5946117341101
obs_000001,4507032,0,820,1224,170.91740417,0.0,170.91740417
obs_000002,123384,0,1230,601,257.25228882,14.630400000000002,242.62188881999998
obs_000003,2505967,0,783,1021,263.52474976,0.0,263.52474976
obs_000004,7222435,0,963,1027,235.51489258,0.0,235.51489258
obs_000005,60832,0,1107,566,223.89611816,4.8768,219.01931815999998
obs_000006,873161,0,1108,695,266.94845581,4.2672,262.68125581
obs_000007,4500400,0,822,1232,193.15916443,2.9999927558898927,190.1591716741101
obs_000008,46000003443,0,1087,740,228.18203735,3.9624,224.21963735
obs_000009,7110588,0,853,1083,230.61016846,0.0,230.61016846
obs_000010,IL093,0,809,270,301.44824219,8.2296,293.21864218999997
obs_000011,28000000089,0,765,611,191.43171692,8.8392,182.59251692
obs_000012,45000000119,0,756,604,215.40553284,0.6096,214.79593284
obs_000013,299395,0,1108,483,211.84339905,19.812,192.03139904999998
obs_000014,937828,0,1224,728,276.07159424,4.572,271.49959424
obs_000015,257426,0,1110,570,240.67950439,7.62,233.05950439
obs_000016,5725894,0,778,1078,292.84683228,1.4999963779449463,291.34683590205503
obs_000017,107940,0,1139,646,270.43637085,9.144,261.29237085
obs_000018,112977,0,1117,968,396.41464233,24.6888,371.72584233
obs_000019,1900861,0,831,1171,251.4959259,12.199970443725586,239.2959554562744
obs_000020,7198971,0,870,1117,130.32987976,0.0,130.32987976
obs_000021,4105842,0,976,949,208.51266479,1.7999956535339356,206.71266913646608
obs_000022,300439,0,1151,860,242.07780457,3.048,239.02980457
obs_000023,7228834,0,851,1131,102.7053299,0.0,102.7053299
obs_000024,139045,0,1105,538,218.48609924,3.048,215.43809923999999
obs_000025,6911999,0,831,1110,315.69845581,19.499952767944336,296.1985030420557
obs_000026,7179699,0,910,1028,302.21676636,0.0,302.21676636
obs_000027,IA131,0,1001,373,281.76376343,5.486400000000001,276.27736343
obs_000028,7144406,0,917,1133,79.55374146,2.9999927558898927,76.5537487041101
obs_000029,82035,0,1144,585,262.51071167,6.4008,256.10991167
obs_000030,37000000886,0,891,674,239.93632507,12.192,227.74432507
obs_000031,67000008060,0,850,648,318.60067749,0.9144000000000001,317.68627749
obs_000032,7231934,0,957,1021,253.18807983,0.0,253.18807983
obs_000033,61000004197,0,967,559,187.17337036,9.7536,177.41977036
obs_000034,41035,0,1108,474,201.07850647,13.1064,187.97210647
obs_000035,356401,0,1103,569,231.88619995,9.144,222.74219994999999
obs_000036,40000003832,0,760,660,375.76846313,7.62,368.14846313
obs_000037,21000000940,0,645,495,215.7023468,4.572,211.13034679999998
obs_000038,OC567,0,779,299,336.19262695,7.9248,328.26782694999997
obs_000039,GV684,0,972,381,254.08988953,0.0,254.08988953
obs_000040,BI546,0,781,435,252.89619446,0.0,252.89619446
obs_000041,5112241,0,799,1185,274.49700928,17.699957986450197,256.79705129354977
obs_000042,322535,0,1099,614,260.78689575,5.486400000000001,255.30049574999998
obs_000043,59000009590,0,925,617,275.40335083,7.62,267.78335083
obs_000044,34000001601,0,966,667,241.41905212,6.096,235.32305212
obs_000045,6407387,0,792,1178,283.79681396,2.39999435005188,281.3968196099481
obs_000046,61000004197,0,1014,769,284.81472778,9.7536,275.06112778
obs_000047,18000010601,0,845,681,320.0675354,6.096,313.9715354
obs_000048,61000004197,0,1046,578,236.67376709,9.7536,226.92016709
obs_000049,TY983,0,794,278,314.08605957,6.096,307.99005956999997
obs_000050,80000003523,0,1053,570,242.10084534,4.8768,237.22404534
obs_000051,38984,0,1098,563,243.81686401,4.572,239.24486401
obs_000052,08000001044,0,1015,614,270.85675049,8.5344,262.32235049
obs_000053,88435,0,1244,762,399.97109985,10.668000000000001,389.30309984999997
